bin,bin_left,bin_right,bin_center,count,fraction,avg_confidence,avg_accuracy,abs_gap
0,0.0,0.1,0.05,70,0.06511627906976744,0.08508853683514249,0.22857142857142856,0.1434828917362861
1,0.1,0.2,0.15000000000000002,389,0.36186046511627906,0.14898002909970465,0.26735218508997427,0.11837215599026962
2,0.2,0.30000000000000004,0.25,210,0.19534883720930232,0.240885543184621,0.41904761904761906,0.17816207586299806
3,0.30000000000000004,0.4,0.35000000000000003,94,0.08744186046511628,0.3503112273013338,0.5212765957446809,0.1709653684433471
4,0.4,0.5,0.45,69,0.0641860465116279,0.44769105617550836,0.6376811594202898,0.18999010324478144
5,0.5,0.6000000000000001,0.55,44,0.04093023255813953,0.5436721498315985,0.7272727272727273,0.1836005774411288
6,0.6000000000000001,0.7000000000000001,0.6500000000000001,53,0.04930232558139535,0.6479414139153823,0.7169811320754716,0.06903971816008936
7,0.7000000000000001,0.8,0.75,48,0.044651162790697675,0.7491192482411861,0.7083333333333334,0.04078591490785277
8,0.8,0.9,0.8500000000000001,52,0.04837209302325581,0.8596442525203412,0.7692307692307693,0.09041348328957188
9,0.9,1.0,0.95,46,0.04279069767441861,0.9272487824377806,0.9130434782608695,0.014205304176911127
