bin,bin_left,bin_right,bin_center,count,fraction,avg_confidence,avg_accuracy,abs_gap
0,0.0,0.1,0.05,5,0.004651162790697674,0.0817871287465095,0.2,0.11821287125349052
1,0.1,0.2,0.15000000000000002,60,0.05581395348837209,0.16649886568387348,0.2,0.03350113431612653
2,0.2,0.30000000000000004,0.25,145,0.13488372093023257,0.25359098315238954,0.1724137931034483,0.08117719004894125
3,0.30000000000000004,0.4,0.35000000000000003,197,0.18325581395348836,0.3483093529183247,0.29441624365482233,0.05389310926350238
4,0.4,0.5,0.45,167,0.15534883720930232,0.44668487731568113,0.41916167664670656,0.027523200668974568
5,0.5,0.6000000000000001,0.55,113,0.10511627906976745,0.5456680069982478,0.4778761061946903,0.06779190080355751
6,0.6000000000000001,0.7000000000000001,0.6500000000000001,118,0.10976744186046512,0.6482430792461007,0.4830508474576271,0.1651922317884736
7,0.7000000000000001,0.8,0.75,104,0.09674418604651162,0.7518143917505558,0.7307692307692307,0.02104516098132503
8,0.8,0.9,0.8500000000000001,93,0.08651162790697674,0.8473886591131969,0.7204301075268817,0.1269585515863152
9,0.9,1.0,0.95,73,0.06790697674418604,0.9406836253322967,0.9178082191780822,0.02287540615421446
