bin,bin_left,bin_right,bin_center,count,fraction,avg_confidence,avg_accuracy,abs_gap
0,0.0,0.1,0.05,0,0.0,,,
1,0.1,0.2,0.15000000000000002,0,0.0,,,
2,0.2,0.30000000000000004,0.25,15,0.013953488372093023,0.2822397981246661,0.2,0.08223979812466609
3,0.30000000000000004,0.4,0.35000000000000003,231,0.21488372093023256,0.36328660864995665,0.3463203463203463,0.01696626232961035
4,0.4,0.5,0.45,367,0.3413953488372093,0.4511715085003751,0.42779291553133514,0.023378592969039935
5,0.5,0.6000000000000001,0.55,305,0.2837209302325581,0.5432078415812696,0.49508196721311476,0.0481258743681548
6,0.6000000000000001,0.7000000000000001,0.6500000000000001,102,0.09488372093023256,0.639542597359491,0.6176470588235294,0.0218955385359616
7,0.7000000000000001,0.8,0.75,38,0.035348837209302326,0.7397330693022445,0.631578947368421,0.10815412193382345
8,0.8,0.9,0.8500000000000001,15,0.013953488372093023,0.8363827865706749,0.5333333333333333,0.30304945323734156
9,0.9,1.0,0.95,2,0.0018604651162790699,0.9888774142933826,0.5,0.4888774142933826
