bin,bin_left,bin_right,bin_center,count,fraction,avg_confidence,avg_accuracy,abs_gap
0,0.0,0.1,0.05,0,0.0,,,
1,0.1,0.2,0.15000000000000002,0,0.0,,,
2,0.2,0.30000000000000004,0.25,0,0.0,,,
3,0.30000000000000004,0.4,0.35000000000000003,114,0.10604651162790697,0.37945557017543863,0.32456140350877194,0.05489416666666669
4,0.4,0.5,0.45,481,0.4474418604651163,0.45249605584199587,0.40124740124740127,0.0512486545945946
5,0.5,0.6000000000000001,0.55,391,0.36372093023255814,0.5421980697442454,0.5038363171355499,0.038361752608695565
6,0.6000000000000001,0.7000000000000001,0.6500000000000001,87,0.08093023255813954,0.6323336406896551,0.6666666666666666,0.03433302597701149
7,0.7000000000000001,0.8,0.75,2,0.0018604651162790699,0.711398885,1.0,0.28860111499999996
8,0.8,0.9,0.8500000000000001,0,0.0,,,
9,0.9,1.0,0.95,0,0.0,,,
