bin,bin_left,bin_right,bin_center,count,fraction,avg_confidence,avg_accuracy,abs_gap
0,0.0,0.1,0.05,16,0.014883720930232559,0.07656503235921258,0.1875,0.11093496764078742
1,0.1,0.2,0.15000000000000002,84,0.07813953488372093,0.15505259945279073,0.14285714285714285,0.012195456595647886
2,0.2,0.30000000000000004,0.25,156,0.14511627906976743,0.25563055124038303,0.22435897435897437,0.031271576881408664
3,0.30000000000000004,0.4,0.35000000000000003,174,0.16186046511627908,0.350940705030814,0.3218390804597701,0.02910162457104387
4,0.4,0.5,0.45,187,0.173953488372093,0.4509813949704808,0.45989304812834225,0.008911653157861466
5,0.5,0.6000000000000001,0.55,136,0.12651162790697673,0.5489844561499708,0.5294117647058824,0.019572691444088464
6,0.6000000000000001,0.7000000000000001,0.6500000000000001,103,0.09581395348837209,0.6480905662462549,0.5533980582524272,0.09469250799382778
7,0.7000000000000001,0.8,0.75,86,0.08,0.7472851920959561,0.6162790697674418,0.13100612232851427
8,0.8,0.9,0.8500000000000001,79,0.07348837209302325,0.8504073997087116,0.7848101265822784,0.06559727312643315
9,0.9,1.0,0.95,54,0.05023255813953489,0.9426990835754959,0.9444444444444444,0.0017453608689484978
