model_name,threshold,net_benefit,standardized_net_benefit,tp,fp,tn,fn,predicted_positive,predicted_negative
Clinical XGBoost strong_v2,0.01,0.4474982381959126,0.987804119220957,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.02,0.4418604651162791,0.9753593429158112,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.03,0.43610644929273557,0.962657973284786,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.04,0.43023255813953487,0.9496919917864476,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.05,0.424235006119951,0.9364530422565654,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.060000000000000005,0.4181098466105888,0.9229324129494517,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.06999999999999999,0.4118529632408102,0.9091210174206796,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.08,0.40546006066734075,0.8950093741630212,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.09,0.39892665474060823,0.8805875848996999,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.09999999999999999,0.3922480620155039,0.8658453114305271,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.11,0.3854193885550039,0.8507717509171031,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.12,0.3784355179704017,0.8353556094829196,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.13,0.37129109863672816,0.8195850739927778,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.14,0.363980530016225,0.8034477818633303,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.15000000000000002,0.3564979480164158,0.7869307887426017,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.16,0.34883720930232553,0.7700205338809034,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.17,0.34099187447464274,0.7527028029984414,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.18000000000000002,0.33295519001701646,0.7349626884359193,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.19,0.32472006890611543,0.7167845463533349,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.2,0.31627906976744186,0.6981519507186859,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.21000000000000002,0.30762437444804236,0.6790476438021469,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.22,0.2987477638640429,0.659453482862107,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.23,0.28964059196617337,0.6393503826768714,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.24000000000000002,0.2802937576499388,0.6187182535393927,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.25,0.27069767441860465,0.5975359342915811,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.26,0.2608422375864236,0.5757811199289639,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.27,0.2507167887862376,0.553430283255042,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.28,0.2403100775193798,0.5304585900068446,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.29000000000000004,0.2296102194562725,0.5068398068079937,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.3,0.21860465116279068,0.48254620123203285,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.31,0.20728008088978764,0.4575484331756093,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.32,0.1956224350205198,0.43181543664693794,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.33,0.1836167997223186,0.4053142909681571,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.34,0.17124735729386886,0.37801008026880706,487,588,0,0,1075,0
Clinical XGBoost strong_v2,0.35000000000000003,0.1590697674418604,0.35112936344969187,486,585,3,1,1071,4
Clinical XGBoost strong_v2,0.36000000000000004,0.14499999999999996,0.32007186858316217,481,578,10,6,1059,16
Clinical XGBoost strong_v2,0.37,0.13247692875599848,0.2924285388351096,476,568,20,11,1044,31
Clinical XGBoost strong_v2,0.38,0.11834958739684925,0.2612439557527987,468,556,32,19,1024,51
Clinical XGBoost strong_v2,0.39,0.10726648875333583,0.2367792102871376,458,536,52,29,994,81
Clinical XGBoost strong_v2,0.4,0.10170542635658913,0.22450376454483228,450,511,77,37,961,114
Clinical XGBoost strong_v2,0.41000000000000003,0.09355932203389833,0.20652211742595628,439,487,101,48,926,149
Clinical XGBoost strong_v2,0.42000000000000004,0.08362469927826777,0.18459250867379437,423,460,128,64,883,192
Clinical XGBoost strong_v2,0.43,0.07241126070991438,0.1598400518750677,406,435,153,81,841,234
Clinical XGBoost strong_v2,0.44,0.07222591362126246,0.15943091815781754,388,395,193,99,783,292
Clinical XGBoost strong_v2,0.45,0.0722198731501057,0.15941758446891915,373,361,227,114,734,341
Clinical XGBoost strong_v2,0.46,0.05639965546942294,0.12449615940375701,346,335,253,141,681,394
Clinical XGBoost strong_v2,0.47000000000000003,0.04691531373409391,0.10356049746232229,328,313,275,159,641,434
Clinical XGBoost strong_v2,0.48000000000000004,0.05488372093023253,0.12114989733059542,311,273,315,176,584,491
Clinical XGBoost strong_v2,0.49,0.03896032831737348,0.0860007247252084,284,252,336,203,536,539
Clinical XGBoost strong_v2,0.5,0.03162790697674417,0.06981519507186855,257,223,365,230,480,595
Clinical XGBoost strong_v2,0.51,0.028989084005695304,0.0639902778359804,231,192,396,256,423,652
Clinical XGBoost strong_v2,0.52,0.027906976744186046,0.06160164271047228,212,168,420,275,380,695
Clinical XGBoost strong_v2,0.53,0.027214250371103393,0.060072523919786756,186,139,449,301,325,750
Clinical XGBoost strong_v2,0.54,0.015166835187057609,0.03347915364699575,156,119,469,331,275,800
Clinical XGBoost strong_v2,0.55,0.017364341085271268,0.03832991101984931,136,96,492,351,232,843
Clinical XGBoost strong_v2,0.56,0.02630021141649047,0.05805488146350566,125,76,512,362,201,874
Clinical XGBoost strong_v2,0.5700000000000001,0.022174148188209827,0.04894704168855352,110,65,523,377,175,900
Clinical XGBoost strong_v2,0.5800000000000001,0.02542635658914727,0.056125941136208043,95,49,539,392,144,931
Clinical XGBoost strong_v2,0.59,0.023028927963698244,0.05083387589522713,78,37,551,409,115,960
Clinical XGBoost strong_v2,0.6,0.01534883720930233,0.03388090349075976,60,29,559,427,89,986
Clinical XGBoost strong_v2,0.61,0.009850924269528924,0.021744853367029967,45,22,566,442,67,1008
Clinical XGBoost strong_v2,0.62,0.004308445532435735,0.009510429050037815,34,18,570,453,52,1023
Clinical XGBoost strong_v2,0.63,0.0032181018227529883,0.0071036128530995125,29,15,573,458,44,1031
Clinical XGBoost strong_v2,0.64,0.00227390180878553,0.005019393109742186,22,11,577,465,33,1042
Clinical XGBoost strong_v2,0.65,0.0019933554817275698,0.004400117336462295,17,8,580,470,25,1050
Clinical XGBoost strong_v2,0.66,0.0021340629274965786,0.00471071385433023,12,5,583,475,17,1058
Clinical XGBoost strong_v2,0.67,0.0018040873854827336,0.003982328417646692,6,2,586,481,8,1067
Clinical XGBoost strong_v2,0.68,0.004651162790697674,0.01026694045174538,5,0,588,482,5,1070
Clinical XGBoost strong_v2,0.6900000000000001,0.0027906976744186047,0.006160164271047228,3,0,588,484,3,1072
Clinical XGBoost strong_v2,0.7000000000000001,0.0018604651162790699,0.004106776180698152,2,0,588,485,2,1073
Clinical XGBoost strong_v2,0.7100000000000001,0.0009302325581395349,0.002053388090349076,1,0,588,486,1,1074
Clinical XGBoost strong_v2,0.72,0.0,0.0,0,0,588,487,0,1075
Clinical XGBoost strong_v2,0.73,0.0,0.0,0,0,588,487,0,1075
Clinical XGBoost strong_v2,0.74,0.0,0.0,0,0,588,487,0,1075
Clinical XGBoost strong_v2,0.75,0.0,0.0,0,0,588,487,0,1075
Clinical XGBoost strong_v2,0.76,0.0,0.0,0,0,588,487,0,1075
Clinical XGBoost strong_v2,0.77,0.0,0.0,0,0,588,487,0,1075
Clinical XGBoost strong_v2,0.78,0.0,0.0,0,0,588,487,0,1075
Clinical XGBoost strong_v2,0.79,0.0,0.0,0,0,588,487,0,1075
Clinical XGBoost strong_v2,0.8,0.0,0.0,0,0,588,487,0,1075
Clinical XGBoost strong_v2,0.81,0.0,0.0,0,0,588,487,0,1075
Clinical XGBoost strong_v2,0.8200000000000001,0.0,0.0,0,0,588,487,0,1075
Clinical XGBoost strong_v2,0.8300000000000001,0.0,0.0,0,0,588,487,0,1075
Clinical XGBoost strong_v2,0.8400000000000001,0.0,0.0,0,0,588,487,0,1075
Clinical XGBoost strong_v2,0.85,0.0,0.0,0,0,588,487,0,1075
Clinical XGBoost strong_v2,0.86,0.0,0.0,0,0,588,487,0,1075
Clinical XGBoost strong_v2,0.87,0.0,0.0,0,0,588,487,0,1075
Clinical XGBoost strong_v2,0.88,0.0,0.0,0,0,588,487,0,1075
Clinical XGBoost strong_v2,0.89,0.0,0.0,0,0,588,487,0,1075
Clinical XGBoost strong_v2,0.9,0.0,0.0,0,0,588,487,0,1075
Clinical XGBoost strong_v2,0.91,0.0,0.0,0,0,588,487,0,1075
Clinical XGBoost strong_v2,0.92,0.0,0.0,0,0,588,487,0,1075
Clinical XGBoost strong_v2,0.93,0.0,0.0,0,0,588,487,0,1075
Clinical XGBoost strong_v2,0.9400000000000001,0.0,0.0,0,0,588,487,0,1075
Clinical XGBoost strong_v2,0.9500000000000001,0.0,0.0,0,0,588,487,0,1075
Clinical XGBoost strong_v2,0.9600000000000001,0.0,0.0,0,0,588,487,0,1075
Clinical XGBoost strong_v2,0.97,0.0,0.0,0,0,588,487,0,1075
Clinical XGBoost strong_v2,0.98,0.0,0.0,0,0,588,487,0,1075
Clinical XGBoost strong_v2,0.99,0.0,0.0,0,0,588,487,0,1075
