model_name,threshold,net_benefit,standardized_net_benefit,tp,fp,tn,fn,predicted_positive,predicted_negative
Image stronger_lr_v3,0.01,0.4474982381959126,0.987804119220957,487,588,0,0,1075,0
Image stronger_lr_v3,0.02,0.4418604651162791,0.9753593429158112,487,588,0,0,1075,0
Image stronger_lr_v3,0.03,0.43610644929273557,0.962657973284786,487,588,0,0,1075,0
Image stronger_lr_v3,0.04,0.43023255813953487,0.9496919917864476,487,588,0,0,1075,0
Image stronger_lr_v3,0.05,0.424235006119951,0.9364530422565654,487,588,0,0,1075,0
Image stronger_lr_v3,0.060000000000000005,0.4181098466105888,0.9229324129494517,487,588,0,0,1075,0
Image stronger_lr_v3,0.06999999999999999,0.4119229807451863,0.9092755735135016,487,587,1,0,1074,1
Image stronger_lr_v3,0.08,0.40461071789686553,0.8931345415587895,486,587,1,1,1073,2
Image stronger_lr_v3,0.09,0.39827242524916945,0.8791434438251687,486,585,3,1,1071,4
Image stronger_lr_v3,0.09999999999999999,0.3917312661498708,0.864704540269222,486,584,4,1,1070,5
Image stronger_lr_v3,0.11,0.3842487588189182,0.8481877119719446,485,582,6,2,1067,8
Image stronger_lr_v3,0.12,0.37758985200845663,0.8334888930371476,485,580,8,2,1065,10
Image stronger_lr_v3,0.13,0.3708206361935311,0.8185465788666242,485,578,10,2,1063,12
Image stronger_lr_v3,0.14,0.3643915630070308,0.8043550928799962,485,573,15,2,1058,17
Image stronger_lr_v3,0.15000000000000002,0.3564979480164159,0.7869307887426018,484,571,17,3,1055,20
Image stronger_lr_v3,0.16,0.3499446290143965,0.7724650435122715,484,566,22,3,1050,25
Image stronger_lr_v3,0.17,0.3412944802465676,0.7533707726181934,482,562,26,5,1044,31
Image stronger_lr_v3,0.18000000000000002,0.3337946681792399,0.7368157459808684,480,552,36,7,1032,43
Image stronger_lr_v3,0.19,0.32250358886017805,0.7118919055948489,475,547,41,12,1022,53
Image stronger_lr_v3,0.2,0.31627906976744186,0.6981519507186859,474,536,52,13,1010,65
Image stronger_lr_v3,0.21000000000000002,0.30894318516337943,0.6819587762846672,473,530,58,14,1003,72
Image stronger_lr_v3,0.22,0.30036970781156824,0.663033749276049,469,518,70,18,987,88
Image stronger_lr_v3,0.23,0.29168227121715495,0.6438571695245207,465,507,81,22,972,103
Image stronger_lr_v3,0.24000000000000002,0.28597307221542223,0.6312547281962606,465,499,89,22,964,111
Image stronger_lr_v3,0.25,0.2784496124031008,0.6146475017111568,462,488,100,25,950,125
Image stronger_lr_v3,0.26,0.2733123821495914,0.6033076197347244,460,473,115,27,933,142
Image stronger_lr_v3,0.27,0.2672953169799299,0.5900255970296194,456,456,132,31,912,163
Image stronger_lr_v3,0.28,0.26279069767441854,0.5800821355236139,454,441,147,33,895,180
Image stronger_lr_v3,0.29000000000000004,0.2591549295774648,0.5720565693958412,453,427,161,34,880,195
Image stronger_lr_v3,0.3,0.25182724252491695,0.5558814901730713,449,416,172,38,865,210
Image stronger_lr_v3,0.31,0.2390158409167509,0.5276017022289676,438,403,185,49,841,234
Image stronger_lr_v3,0.32,0.2293296853625171,0.5062205580384105,431,392,196,56,823,252
Image stronger_lr_v3,0.33,0.22446372787226654,0.49547948144288817,426,375,213,61,801,274
Image stronger_lr_v3,0.34,0.21677237491190976,0.47850164893286035,419,361,227,68,780,295
Image stronger_lr_v3,0.35000000000000003,0.21416815742397136,0.472753119570368,416,345,243,71,761,314
Image stronger_lr_v3,0.36000000000000004,0.21191860465116275,0.4677874743326488,414,331,257,73,745,330
Image stronger_lr_v3,0.37,0.20541897379106677,0.4534402398878784,407,317,271,80,724,351
Image stronger_lr_v3,0.38,0.20342085521380343,0.4490296085314963,405,304,284,82,709,366
Image stronger_lr_v3,0.39,0.2013267251239039,0.44440704211128684,398,284,304,89,682,393
Image stronger_lr_v3,0.4,0.191937984496124,0.42368240930869266,391,277,311,96,668,407
Image stronger_lr_v3,0.41000000000000003,0.1846117461568782,0.40751052796436155,384,267,321,103,651,424
Image stronger_lr_v3,0.42000000000000004,0.18161988773055332,0.40090632301918855,377,251,337,110,628,447
Image stronger_lr_v3,0.43,0.1792574459404325,0.39569148744551325,373,239,349,114,612,463
Image stronger_lr_v3,0.44,0.17900332225913623,0.3951305368143151,370,226,362,117,596,479
Image stronger_lr_v3,0.45,0.1697251585623679,0.37464999066641785,360,217,371,127,577,498
Image stronger_lr_v3,0.46,0.1603445305770887,0.3539432656475777,347,205,383,140,552,523
Image stronger_lr_v3,0.47000000000000003,0.15605089951733217,0.34446553794893653,346,201,387,141,547,528
Image stronger_lr_v3,0.48000000000000004,0.14769230769230768,0.3260148475754225,336,192,396,151,528,547
Image stronger_lr_v3,0.49,0.14163246694026452,0.3126384023835408,330,185,403,157,515,560
Image stronger_lr_v3,0.5,0.13116279069767445,0.2895277207392198,321,180,408,166,501,574
