threshold,net_benefit,standardized_net_benefit
0.01,0.4474982381959126,0.987804119220957
0.02,0.4418604651162791,0.9753593429158112
0.03,0.43610644929273557,0.962657973284786
0.04,0.43023255813953487,0.9496919917864476
0.05,0.424235006119951,0.9364530422565654
0.060000000000000005,0.4181098466105888,0.9229324129494517
0.06999999999999999,0.4118529632408102,0.9091210174206796
0.08,0.40546006066734075,0.8950093741630212
0.09,0.39892665474060823,0.8805875848996999
0.09999999999999999,0.3922480620155039,0.8658453114305271
0.11,0.3854193885550039,0.8507717509171031
0.12,0.3784355179704017,0.8353556094829196
0.13,0.37129109863672816,0.8195850739927778
0.14,0.363980530016225,0.8034477818633303
0.15000000000000002,0.3564979480164158,0.7869307887426017
0.16,0.34883720930232553,0.7700205338809034
0.17,0.34099187447464274,0.7527028029984414
0.18000000000000002,0.33295519001701646,0.7349626884359193
0.19,0.32472006890611543,0.7167845463533349
0.2,0.31627906976744186,0.6981519507186859
0.21000000000000002,0.30762437444804236,0.6790476438021469
0.22,0.2987477638640429,0.659453482862107
0.23,0.28964059196617337,0.6393503826768714
0.24000000000000002,0.2802937576499388,0.6187182535393927
0.25,0.27069767441860465,0.5975359342915811
0.26,0.2608422375864236,0.5757811199289639
0.27,0.2507167887862376,0.553430283255042
0.28,0.2403100775193798,0.5304585900068446
0.29000000000000004,0.2296102194562725,0.5068398068079937
0.3,0.21860465116279068,0.48254620123203285
0.31,0.20728008088978764,0.4575484331756093
0.32,0.1956224350205198,0.43181543664693794
0.33,0.1836167997223186,0.4053142909681571
0.34,0.17124735729386886,0.37801008026880706
0.35000000000000003,0.15849731663685146,0.34986574000947707
0.36000000000000004,0.14534883720930225,0.320841889117043
0.37,0.13178294573643412,0.2908966461327858
0.38,0.11777944486121533,0.25998542756839116
0.39,0.1033168128097598,0.22806072642811454
0.4,0.08837209302325577,0.19507186858316214
0.41000000000000003,0.07292077256602286,0.16096474437058436
0.42000000000000004,0.05693664795509218,0.1256815124265382
0.43,0.040391676866585124,0.08916027234410474
0.44,0.023255813953488413,0.051334702258726994
0.45,0.005496828752642735,0.012133656897517331
0.46,-0.012919896640826878,-0.028519279032626067
0.47000000000000003,-0.03203159280386131,-0.07070628801673698
0.48000000000000004,-0.05187835420393555,-0.11451587426946759
0.49,-0.07250341997264015,-0.16004348351250136
0.5,-0.093953488372093,-0.2073921971252566
0.51,-0.1162790697674419,-0.2566735112936346
0.52,-0.13953488372093031,-0.3080082135523616
0.53,-0.16378030677882244,-0.3615273712263534
0.54,-0.18907987866531856,-0.4173734487992145
0.55,-0.2155038759689924,-0.47570157426420295
0.56,-0.24312896405919665,-0.5366809781594176
0.5700000000000001,-0.2720389399675502,-0.6004966333985964
0.5800000000000001,-0.302325581395349,-0.6673511293634501
0.59,-0.3340896199659669,-0.7374668202534178
0.6,-0.3674418604651161,-0.8110882956878847
0.61,-0.40250447227191405,-0.8884852314010423
0.62,-0.43941248470012234,-0.9699556900464713
0.63,-0.4783155248271526,-1.0558299572673286
0.64,-0.5193798449612403,-1.1464750171115676
0.65,-0.5627906976744186,-1.242299794661191
0.66,-0.6087551299589604,-1.3437613238313808
0.67,-0.6575052854122623,-1.4513720365876426
0.68,-0.7093023255813955,-1.5657084188911707
0.6900000000000001,-0.7644411102775697,-1.6874213419884752
0.7000000000000001,-0.8232558139534885,-1.8172484599589325
0.7100000000000001,-0.886126704089816,-1.9560291722721812
0.72,-0.953488372093023,-2.1047227926078023
0.73,-1.0258397932816534,-2.2644307551905083
0.74,-1.1037567084078708,-2.4364239456641914
0.75,-1.1879069767441859,-2.6221765913757697
0.76,-1.2790697674418605,-2.82340862422998
0.77,-1.378159757330637,-3.0421390947236855
0.78,-1.4862579281183932,-3.280754153444092
0.79,-1.6046511627906979,-3.5420944558521565
0.8,-1.7348837209302328,-3.829568788501027
0.81,-1.8788249694002452,-4.1473035772182
0.8200000000000001,-2.038759689922481,-4.500342231348393
0.8300000000000001,-2.2175102599179217,-4.89491484478802
0.8400000000000001,-2.4186046511627923,-5.338809034907602
0.85,-2.646511627906976,-5.84188911704312
0.86,-2.906976744186046,-6.4168377823408616
0.87,-3.2075134168157415,-7.080240088453639
0.88,-3.5581395348837206,-7.854209445585215
0.89,-3.9725158562367864,-8.768900504013441
0.9,-4.4697674418604665,-9.866529774127313
0.91,-5.077519379844963,-11.208076659822044
0.92,-5.8372093023255855,-12.885010266940462
0.93,-6.813953488372098,-15.041067761806993
0.9400000000000001,-8.11627906976745,-17.915811088295705
0.9500000000000001,-9.939534883720945,-21.94045174537991
0.9600000000000001,-12.674418604651187,-27.977412731006215
0.97,-17.23255813953487,-38.039014373716604
0.98,-26.3488372093023,-58.16221765913752
0.99,-53.6976744186046,-118.5318275154003
