model_type,feature_groups,model_dir,test_auroc,test_auprc,found
clinical_logistic,acuity_only,artifacts\models\clinical_baseline_u_ignore_acuity_only_temporal_strong_v2,0.5272126304320497,0.471086868609791,True
clinical_logistic,all,artifacts\models\clinical_baseline_u_ignore_temporal_strong_v2,0.6062925170068028,0.5479741399318667,True
clinical_logistic,demographics_only,artifacts\models\clinical_baseline_u_ignore_demographics_only_temporal_strong_v2,0.5290268057941863,0.4850344179064703,True
clinical_logistic,no_missing_flags,artifacts\models\clinical_baseline_u_ignore_no_missing_flags_temporal_strong_v2,0.6065491905180964,0.5477862942441891,True
clinical_logistic,vitals_only,artifacts\models\clinical_baseline_u_ignore_vitals_only_temporal_strong_v2,0.6204968640433586,0.5517165189309352,True
clinical_logistic,vitals_plus_acuity,artifacts\models\clinical_baseline_u_ignore_vitals_plus_acuity_temporal_strong_v2,0.620065582701253,0.5514865899868562,True
clinical_xgb,acuity_only,artifacts\models\clinical_xgb_u_ignore_acuity_only_temporal_strong_v2,0.5373713140286915,0.47586397105452666,True
clinical_xgb,all,artifacts\models\clinical_xgb_u_ignore_temporal_strong_v2,0.6105424716087667,0.5665216593505178,True
clinical_xgb,demographics_only,artifacts\models\clinical_xgb_u_ignore_demographics_only_temporal_strong_v2,0.5407237843802819,0.49486378887081184,True
clinical_xgb,no_missing_flags,artifacts\models\clinical_xgb_u_ignore_no_missing_flags_temporal_strong_v2,0.6131144449566274,0.5673323831837354,True
clinical_xgb,vitals_only,artifacts\models\clinical_xgb_u_ignore_vitals_only_temporal_strong_v2,0.6127495145902304,0.5549052589269504,True
clinical_xgb,vitals_plus_acuity,artifacts\models\clinical_xgb_u_ignore_vitals_plus_acuity_temporal_strong_v2,0.619569696461747,0.5702968684907539,True
multimodal,all,artifacts\models\multimodal_pneumonia_densenet121_triage_u_ignore_temporal_stronger_lr_v3,0.7362059813658524,0.7143120481776486,True
multimodal,no_missing_flags,artifacts\models\multimodal_pneumonia_densenet121_triage_u_ignore_no_missing_flags_temporal_v1,0.7165800611825839,0.6973546025589209,True
multimodal,vitals_only,artifacts\models\multimodal_pneumonia_densenet121_triage_u_ignore_vitals_only_temporal_v1,0.7368066323038456,0.7167024707437846,True
multimodal,vitals_plus_acuity,artifacts\models\multimodal_pneumonia_densenet121_triage_u_ignore_vitals_plus_acuity_temporal_v1,0.7404489516545838,0.7130020223759982,True
