arch,seed,scheme,n_bins,ece
image,42,uniform,5,0.03293520165737286
image,42,uniform,10,0.06001781352037608
image,42,uniform,15,0.05524453685034153
image,42,uniform,20,0.06304464329120725
image,42,quantile,10,0.04950136678856472
image,42,quantile,15,0.05665208786725998
image,123,uniform,5,0.059741825468318396
image,123,uniform,10,0.05974182546831841
image,123,uniform,15,0.06323095623143883
image,123,uniform,20,0.06879863086827964
image,123,quantile,10,0.06324265673410065
image,123,quantile,15,0.06647999036450719
image,456,uniform,5,0.026153390005577447
image,456,uniform,10,0.04076576985592067
image,456,uniform,15,0.052724068649979534
image,456,uniform,20,0.05126100960165957
image,456,quantile,10,0.035910203082616936
image,456,quantile,15,0.046464042427927954
image,789,uniform,5,0.047054592211579184
image,789,uniform,10,0.04857923347589582
image,789,uniform,15,0.053824953956659455
image,789,uniform,20,0.061804775422395646
image,789,quantile,10,0.043362138888170566
image,789,quantile,15,0.05652903959501621
image,1000,uniform,5,0.045197952861009666
image,1000,uniform,10,0.056523075283959855
image,1000,uniform,15,0.05189728691134342
image,1000,uniform,20,0.06264867527540341
image,1000,quantile,10,0.05194122828716457
image,1000,quantile,15,0.060609260922254535
concat,42,uniform,5,0.0404442723095417
concat,42,uniform,10,0.055691201655670666
concat,42,uniform,15,0.05364989795310553
concat,42,uniform,20,0.0648022496665633
concat,42,quantile,10,0.05121883430799775
concat,42,quantile,15,0.054962408982737125
concat,123,uniform,5,0.022686115170634038
concat,123,uniform,10,0.022933391346487877
concat,123,uniform,15,0.03225643236969793
concat,123,uniform,20,0.04686407780924508
concat,123,quantile,10,0.04297693233157313
concat,123,quantile,15,0.05684886070184931
concat,456,uniform,5,0.03308844492532487
concat,456,uniform,10,0.03532878250923269
concat,456,uniform,15,0.040001653602650004
concat,456,uniform,20,0.047896926087695496
concat,456,quantile,10,0.03881433485205784
concat,456,quantile,15,0.04175210119333379
concat,789,uniform,5,0.05189354083565777
concat,789,uniform,10,0.052610313511172
concat,789,uniform,15,0.05894986139480456
concat,789,uniform,20,0.06522179790014444
concat,789,quantile,10,0.05002383029045063
concat,789,quantile,15,0.058741730721884024
concat,1000,uniform,5,0.03521246535833493
concat,1000,uniform,10,0.03551965409933134
concat,1000,uniform,15,0.05026431233383888
concat,1000,uniform,20,0.050589574117993225
concat,1000,quantile,10,0.03781342639479526
concat,1000,quantile,15,0.04317746960839561
