arch,seed,target_sens,threshold,sensitivity,specificity,ppv,npv,tp,fp,tn,fn
image,42,0.9,0.2464780956506729,0.9014373716632443,0.3112244897959184,0.5201421800947867,0.7922077922077922,439,405,183,48
image,42,0.95,0.1913725584745407,0.9507186858316222,0.1870748299319728,0.4920297555791711,0.8208955223880597,463,478,110,24
image,123,0.9,0.2850962579250335,0.9014373716632443,0.31462585034013607,0.5213776722090261,0.7939914163090128,439,403,185,48
image,123,0.95,0.2320769280195236,0.9507186858316222,0.18877551020408162,0.4925531914893617,0.8222222222222222,463,477,111,24
image,456,0.9,0.2737990915775299,0.9014373716632443,0.31802721088435376,0.5226190476190476,0.7957446808510639,439,401,187,48
image,456,0.95,0.2137427479028701,0.9507186858316222,0.14965986394557823,0.48078920041536866,0.7857142857142857,463,500,88,24
image,789,0.9,0.2846840023994446,0.9014373716632443,0.2925170068027211,0.5134502923976608,0.7818181818181819,439,416,172,48
image,789,0.95,0.2468755543231964,0.9507186858316222,0.17006802721088435,0.4868559411146162,0.8064516129032258,463,488,100,24
image,1000,0.9,0.2541953027248382,0.9014373716632443,0.3112244897959184,0.5201421800947867,0.7922077922077922,439,405,183,48
image,1000,0.95,0.1961536407470703,0.9507186858316222,0.1683673469387755,0.48634453781512604,0.8048780487804879,463,489,99,24
concat,42,0.9,0.2850421369075775,0.9014373716632443,0.3078231292517007,0.5189125295508275,0.7903930131004366,439,407,181,48
concat,42,0.95,0.2314161509275436,0.9507186858316222,0.19387755102040816,0.49413020277481323,0.8260869565217391,463,474,114,24
concat,123,0.9,0.2726132273674011,0.9014373716632443,0.33503401360544216,0.5289156626506024,0.8040816326530612,439,391,197,48
concat,123,0.95,0.1959464699029922,0.9507186858316222,0.1683673469387755,0.48634453781512604,0.8048780487804879,463,489,99,24
concat,456,0.9,0.2736437618732452,0.9014373716632443,0.3129251700680272,0.5207591933570581,0.7931034482758621,439,404,184,48
concat,456,0.95,0.223782405257225,0.9507186858316222,0.18027210884353742,0.48994708994708996,0.8153846153846154,463,482,106,24
concat,789,0.9,0.2531832754611969,0.9014373716632443,0.304421768707483,0.5176886792452831,0.788546255506608,439,409,179,48
concat,789,0.95,0.1963405460119247,0.9507186858316222,0.17346938775510204,0.48788198103266595,0.8095238095238095,463,486,102,24
concat,1000,0.9,0.3145818412303924,0.9014373716632443,0.35034013605442177,0.5347137637028014,0.8110236220472441,439,382,206,48
concat,1000,0.95,0.2508558928966522,0.9507186858316222,0.17857142857142858,0.4894291754756871,0.813953488372093,463,483,105,24
