arch,seed,n,positive_rate,auroc,auprc,ece,mce,brier,mean_pred_prob
image,42,1075,0.4530232558139535,0.7391987595859699,0.7237021542579458,0.06001781352037608,0.14040050558421913,0.20599644711295595,0.47243436014236406
image,123,1075,0.4530232558139535,0.7382174635768064,0.7130494359391812,0.05974182546831841,0.15457081027550268,0.20817887748438513,0.5029221343786218
image,456,1075,0.4530232558139535,0.7349208677310761,0.7208552020888406,0.04076576985592067,0.9198059216141701,0.20557980658391264,0.46733587288579276
image,789,1075,0.4530232558139535,0.7341351324924221,0.7179370412542239,0.04857923347589582,0.1488376672022811,0.20723814759047796,0.4934248897294666
image,1000,1075,0.4530232558139535,0.740232437944377,0.7199784563334379,0.056523075283959855,0.12439132779836648,0.20648333973006192,0.4864412930538488
labflags,42,1075,0.4530232558139535,0.7503946136976352,0.7244335969206349,0.04067582585090814,0.1704018689409087,0.20282740457629295,0.47233349650405176
labflags,123,1075,0.4530232558139535,0.7464554610345164,0.7218767787320929,0.036823840335358037,0.14868661130850136,0.2021821213686068,0.46739295050155283
labflags,456,1075,0.4530232558139535,0.7447408121359427,0.7266826303976213,0.05064774830674017,0.10403500242931085,0.20391746387381612,0.5035949406928795
labflags,789,1075,0.4530232558139535,0.7525841958960175,0.7324533463530838,0.06644452530804068,0.1676711018492535,0.20342040351328453,0.48814005671025706
labflags,1000,1075,0.4530232558139535,0.7387692243221724,0.7171162675766868,0.04313873233490212,0.17991354217131936,0.2050437053784859,0.4546199689008469
labs,42,1075,0.4530232558139535,0.7410845241587396,0.7175634590620156,0.05644507153089656,0.19420650939351508,0.20636872502162637,0.4829404425898264
labs,123,1075,0.4530232558139535,0.7500384137227786,0.7272624149853342,0.025655324881853046,0.08424188072482741,0.20094081702770145,0.4779332430764686
labs,456,1075,0.4530232558139535,0.7491025157496264,0.725911521828631,0.04299461531084636,0.10632401617134325,0.20234791452736295,0.45000605422396994
labs,789,1075,0.4530232558139535,0.7463821257455755,0.7236200809906411,0.04574118733059529,0.09389573720193678,0.20333292779606313,0.49225507691502574
labs,1000,1075,0.4530232558139535,0.7466405453351772,0.7241624477846746,0.042833205422516486,0.11717382395589682,0.20351875365510644,0.446053311503384
