arch,seed,delta_auroc,delta_auprc,delta_ece,delta_brier
labs,42,0.001885764572769677,-0.006138695195930244,-0.0035727419894795165,0.0003722779086704209
labs,123,0.011820950145972176,0.01421297904615293,-0.03408650058646537,-0.0072380604566836815
labs,456,0.014181648018550264,0.005056319739790371,0.0022288454549256945,-0.0032318920565496956
labs,789,0.012246993253153371,0.005683039736417261,-0.0028380461453005323,-0.003905219794414827
labs,1000,0.006408107390800222,0.004183991451236713,-0.013689869861443368,-0.0029645860749554775
labflags,42,0.011195854111665238,0.0007314426626890969,-0.019341987669467937,-0.0031690425366630026
labflags,123,0.008237997457710033,0.008827342792911641,-0.022917985132960374,-0.005996756115778323
labflags,456,0.009819944404866554,0.005827428308780691,0.0098819784508195,-0.0016623427100965205
labflags,789,0.018449063403595423,0.014516305098859927,0.01786529183214486,-0.00381774407719343
labflags,1000,-0.0014632136222045844,-0.0028621887567511495,-0.013384342949057736,-0.0014396343515760135
