factor,level,metric,delta_mean,delta_std,n_subgroup
sex,Female,auroc,0.0015139571547806874,0.007553647611216367,591
sex,Female,ece,-0.016069434208767067,0.015201366488318605,591
sex,Male,auroc,0.006122939560439545,0.012824814518418885,484
sex,Male,ece,-0.008209933600704055,0.02441735242521496,484
age_band,40-59,auroc,0.005838274044795755,0.008650821848455373,316
age_band,40-59,ece,-0.017980439232402966,0.01665365712463553,316
age_band,60-79,auroc,0.0028506224066390472,0.01324199765463275,441
age_band,60-79,ece,-0.001601748964210764,0.01689074231332888,441
age_band,80+,auroc,-0.0005148833467417235,0.012792467982290124,223
age_band,80+,ece,-0.01487772049457503,0.020929453397953213,223
age_band,<40,auroc,0.010844444444444457,0.022806973159351016,95
age_band,<40,ece,-0.011821268867505227,0.020703459138068283,95
race_group,Asian,auroc,-0.021671826625387025,0.04821180031701994,36
race_group,Asian,ece,0.050330129265785215,0.06480412111710154,36
race_group,Black,auroc,-0.00036804365759253167,0.0069109167104202136,256
race_group,Black,ece,-0.003188632783712822,0.027870538039018764,256
race_group,Hispanic,auroc,0.014473684210526328,0.03476683470186746,70
race_group,Hispanic,ece,0.013878653262342744,0.03154421903241277,70
race_group,Other/Unknown,auroc,0.02397660818713452,0.029847485743099065,37
race_group,Other/Unknown,ece,-0.006201782701788716,0.0386737470552696,37
race_group,White,auroc,0.004368863708343551,0.011074585291948581,676
race_group,White,ece,-0.013937202748462293,0.021329002990892475,676
acuity_group,High acuity (ESI 1-2),auroc,0.0019576249821884107,0.011445651739615623,606
acuity_group,High acuity (ESI 1-2),ece,-0.005153457606487938,0.020448390600682702,606
acuity_group,Lower acuity (ESI 3-5),auroc,0.005380938445029737,0.0073896166608088355,456
acuity_group,Lower acuity (ESI 3-5),ece,-0.016992941217725745,0.021601043376037448,456
view,AP,auroc,-0.005903187721369507,0.020121394888309822,466
view,AP,ece,-0.00987058183729904,0.02893849141293472,466
view,PA,auroc,0.010354073715905887,0.010376227148986556,609
view,PA,ece,-0.0069759026659141935,0.008401473757024276,609
